empleo_total,establecimientos_total,exportadoras_total,hhi,diversidad_sectorial,max_share_sector,intensidad_export_prom,densidad_estab_prom,salario_promedio_ponderado,top_activity,provincia_id,provincia,cluster,cluster_method,k_optimo,silhouette
1596397.0,212077.0,9660.0,0.08137618,21,0.12985993,0.05534485,0.17485737,199434.65,G,2,CABA,1,kmeans,2,0.510188
2108119.0,302925.0,14556.0,0.13100792,21,0.25658561,0.05147353,0.21135663,218423.43,C,6,Buenos Aires,1,kmeans,2,0.510188
34191.0,5047.0,229.0,0.11353346,19,0.19677693,0.08606485,0.19046972,0.0,G,10,Catamarca,2,kmeans,2,0.510188
537565.0,86771.0,3390.0,0.11706295,20,0.20655363,0.03143285,0.19090724,138981.15,C,14,Cordoba,2,kmeans,2,0.510188
81033.0,13984.0,510.0,0.12436898,20,0.24577641,0.0417828,0.20140663,0.0,G,18,Corrientes,2,kmeans,2,0.510188
87672.0,13877.0,435.0,0.11875855,20,0.24379505,0.03915937,0.19775991,0.0,G,22,Chaco,2,kmeans,2,0.510188
100217.0,14008.0,625.0,0.10549815,20,0.2068212,0.04464852,0.18740183,624928.6,G,26,Chubut,2,kmeans,2,0.510188
141767.0,26278.0,1026.0,0.13118566,20,0.22128563,0.03834276,0.27615225,0.0,C,30,Entre Rios,2,kmeans,2,0.510188
26982.0,4501.0,125.0,0.14203279,19,0.24983322,0.04996555,0.19736608,0.0,G,34,Formosa,2,kmeans,2,0.510188
62476.0,8659.0,222.0,0.10631373,19,0.18400666,0.04034846,0.17828086,0.0,C,38,Jujuy,2,kmeans,2,0.510188
40787.0,9898.0,332.0,0.12441206,19,0.26908083,0.04161165,0.25433585,0.0,G,42,La Pampa,2,kmeans,2,0.510188
32613.0,4391.0,256.0,0.14513894,19,0.27130285,0.0688111,0.20133016,0.0,C,46,La Rioja,2,kmeans,2,0.510188
252202.0,39580.0,2866.0,0.10574711,21,0.18326183,0.05041866,0.22005859,0.0,C,50,Mendoza,2,kmeans,2,0.510188
111105.0,16215.0,605.0,0.11585363,20,0.20031502,0.0243868,0.16859766,0.0,C,54,Misiones,2,kmeans,2,0.510188
126837.0,16781.0,769.0,0.10384556,20,0.17932465,0.05522527,0.16291328,0.0,B,58,Neuquen,2,kmeans,2,0.510188
115372.0,17976.0,850.0,0.11325049,21,0.21776514,0.04944601,0.22646667,0.0,G,62,Rio Negro,2,kmeans,2,0.510188
119944.0,17261.0,769.0,0.10225525,20,0.17616554,0.05457547,0.18499657,165000.19,G,66,Salta,2,kmeans,2,0.510188
86824.0,11929.0,662.0,0.10429387,19,0.16770709,0.04853916,0.17660057,0.0,F,70,San Juan,2,kmeans,2,0.510188
57169.0,8612.0,485.0,0.15366305,19,0.31172489,0.06343758,0.20812232,0.0,C,74,San Luis,2,kmeans,2,0.510188
60009.0,6999.0,391.0,0.13100813,20,0.26997617,0.05440881,0.20019487,0.0,B,78,Santa Cruz,2,kmeans,2,0.510188
543358.0,84118.0,3540.0,0.12889101,21,0.25261982,0.04047076,0.22610083,297254.91,C,82,Santa Fe,2,kmeans,2,0.510188
55944.0,9479.0,266.0,0.12720207,19,0.24526312,0.04220522,0.18412582,0.0,G,86,Santiago Del Estero,2,kmeans,2,0.510188
178863.0,19802.0,765.0,0.12261215,19,0.21153061,0.05066541,0.15234273,0.0,A,90,Tucuman,2,kmeans,2,0.510188
38003.0,4550.0,169.0,0.16035547,20,0.32923717,0.0465048,0.18861185,0.0,C,94,Tierra Del Fuego,2,kmeans,2,0.510188
