departamento,sindesc_patrones,tasa,rank
General Guido,34.0,43.037975,1
Lobos,494.0,39.935327,2
Suipacha,135.0,39.473684,3
Navarro,232.0,38.991597,4
Tordillo,23.0,38.983051,5
General Viamonte,243.0,38.510301,6
Carmen de Areco,204.0,37.777778,7
La Costa,859.0,37.725077,8
General Juan Madariaga,232.0,37.299035,9
Ramallo,312.0,37.054632,10
Daireaux,264.0,37.026648,11
Mercedes,624.0,36.966825,12
Chivilcoy,730.0,36.924633,13
Arrecifes,335.0,36.853685,14
Villarino,324.0,36.77639,15
Bragado,489.0,36.275964,16
Chacabuco,591.0,35.839903,17
Tres Lomas,119.0,35.735736,18
Roque Pérez,144.0,35.555556,19
Leandro N. Alem,237.0,35.532234,20
San Pedro,596.0,35.100118,21
General Belgrano,232.0,35.098336,22
Capitán Sarmiento,173.0,35.020243,23
General Villegas,450.0,34.883721,24
Monte,232.0,34.268833,25
Pehuajó,506.0,34.166104,26
Pergamino,998.0,34.073062,27
General Lavalle,33.0,34.020619,28
General Paz,133.0,34.015345,29
Adolfo Gonzales Chaves,169.0,33.867735,30
Bolívar,389.0,33.708839,31
Colón,221.0,33.333333,32
9 de Julio,581.0,33.143183,33
Adolfo Alsina,223.0,33.086053,34
Ayacucho,221.0,33.03438,35
General Pinto,130.0,32.994924,36
Loberķa,210.0,32.967033,37
Dolores,241.0,32.878581,38
Coronel Pringles,273.0,32.694611,39
Las Flores,237.0,32.421341,40
Monte Hermoso,81.0,32.4,41
San Nicolás,1105.0,32.376209,42
25 de Mayo,357.0,32.366274,43
Lincoln,522.0,32.362058,44
Carlos Tejedor,142.0,32.272727,45
General Alvarado,361.0,32.232143,46
Azul,681.0,32.107496,47
Chascomús,328.0,32.093933,48
Maipú,85.0,32.075472,49
Pinamar,375.0,32.023911,50
Carlos Casares,236.0,32.02171,51
Baradero,294.0,31.956522,52
Benito Juárez,186.0,31.903945,53
Tornquist,140.0,31.890661,54
Pila,39.0,31.707317,55
Tapalqué,87.0,31.521739,56
San Andrés de Giles,241.0,31.339402,57
Necochea,848.0,31.256911,58
Olavarrķa,987.0,31.037736,59
Villa Gesell,305.0,30.995935,60
Hipólito Yrigoyen,105.0,30.701754,61
General Alvear,79.0,30.620155,62
General La Madrid,113.0,30.540541,63
Salto,326.0,30.46729,64
Saladillo,325.0,30.345472,65
Rauch,154.0,30.196078,66
General Arenales,186.0,30.194805,67
Guaminí,127.0,30.166271,68
Junín,867.0,29.78358,69
Punta Indio,86.0,29.655172,70
Pellegrini,83.0,29.432624,71
Mar Chiquita,229.0,29.209184,72
Patagones,292.0,28.910891,73
General Pueyrredón,4477.0,28.761403,74
Alberti,110.0,28.720627,75
Rivadavia,233.0,28.694581,76
Florentino Ameghino,102.0,28.651685,77
Laprida,113.0,28.607595,78
Lezama,56.0,28.571429,79
Trenque Lauquen,434.0,28.108808,80
Coronel Suárez,388.0,27.893602,81
Tres Arroyos,493.0,27.449889,82
Balcarce,384.0,27.350427,83
Salliqueló,99.0,27.197802,84
Rojas,221.0,27.116564,85
Puan,175.0,27.047913,86
Coronel de Marina Leonardo Rosales,324.0,26.277372,87
Tandil,1115.0,26.130771,88
Saavedra,196.0,25.85752,89
Magdalena,145.0,25.70922,90
Castelli,57.0,25.446429,91
Bahía Blanca,1961.0,24.772612,92
Coronel Dorrego,120.0,24.489796,93
San Cayetano,94.0,23.857868,94
San Antonio de Areco,187.0,22.39521,95
